,Unnamed: 0.1,Unnamed: 0,STI_Price,SPY_Price,SHG_Price,US Interest Rates,China Interest Rates ,Production Index United States,Production Index China,Date,CNY,USD,STI_Price_returns,SPY_Price_returns,SHG_Price_returns,US Interest Rates_returns,China Interest Rates _returns,Production Index United States_returns,Production Index China_returns,CNY_returns,USD_returns
59,59,59,3272.076667,1922.583333,2037.966667,0.75,3.25,3.173927056,-1.766666667,2014-06-30,1.2510333333333332,1.5812333333333333,0.05249597410985918,0.045947141465414676,-0.0014356434832670795,0.0,0.0,0.42862730257039283,-0.1016949152370008,-0.012549989475900136,0.000675034279084441
60,60,60,3325.963333,1968.776667,2260.876667,0.75,3.25,3.345346657,-0.966666667,2014-09-30,1.2572,1.6199666666666666,0.01646864407043558,0.024026700537302492,0.10937862900777273,0.0,0.0,0.054008676940431766,-0.45283018859380564,0.004929258479656973,0.024495646857937814
61,61,61,3329.966667,2048.17,2779.23,0.75,3.25,3.261410768,-2.733333333,2014-12-31,1.3052666666666666,1.6827,0.0012036614956874025,0.0403262260929671,0.22927094633950684,0.0,0.0,-0.02509034118313791,1.8275862055766945,0.03823311061618395,0.03872507664766767
62,62,62,3413.69,2055.793333,3422.853333,0.75,3.25,1.417972973,-4.766666667,2015-03-31,1.3624333333333334,1.6788,0.025142393715138045,0.003722021609534387,0.23158332811606086,0.0,0.0,-0.5652271137040656,0.7439024393590126,0.04379692527708268,-0.0023177036904974413
63,63,63,3398.943333,2085.336667,4443.54,0.75,3.25,-1.366081242,-4.666666667,2015-06-30,1.3392,1.6630666666666667,-0.0043198612059091035,0.014370770410509826,0.298197605243403,0.0,0.0,-1.963404287678197,-0.020979020977553886,-0.017052822156435887,-0.00937177348900009
64,64,64,2971.61,1998.683333,3307.5,0.75,3.25,-1.863850132,-5.733333333,2015-09-30,1.4015333333333333,1.6371666666666669,-0.12572534789005263,-0.0415536423308861,-0.2556610270189984,0.0,0.0,0.36437722347409274,0.22857142841224487,0.046545201115093526,-0.015573639060370237
65,65,65,2912.34,2067.903333,3455.713333,0.8333333333333333,3.016666667,-3.76866971,-5.9,2015-12-31,1.4094,1.6444666666666663,-0.019945416794262982,0.03463279993239432,0.044811287377173104,0.11111111111111094,-0.0717948716923077,1.0219810838310472,0.029069767501690214,0.0056129001569709125,0.00445892293596617
66,66,66,2712.173333,1977.403333,2809.833333,1.0,2.9,-3.337776769,-4.833333333,2016-03-31,1.3927666666666667,1.7043666666666668,-0.06873052837237403,-0.043764134694201484,-0.18690207715791451,0.20000000000000018,-0.0386740332553952,-0.11433555449463895,-0.18079096050847465,-0.011801712312567991,0.036425183443467235
67,67,67,2823.503333,2087.04,2928.183333,1.0,2.9,-2.33226075,-2.933333333,2016-06-30,1.3558666666666666,1.7061,0.04104826142393159,0.05544476696803469,0.04211993594425767,0.0,0.0,-0.30125322590139936,-0.3931034483029726,-0.026494028671948056,0.0010169955604231173
68,68,68,2852.916667,2170.94,3023.176667,1.0,2.9,-2.130316426,-0.8,2016-09-30,1.3546000000000002,1.6885666666666663,0.010417318675075782,0.040200475314320805,0.0324410472969523,0.0,0.0,-0.08658736978701898,-0.7272727272417355,-0.0009342118202376737,-0.010276849735263882
69,69,69,2866.6,2187.93,3151.386667,1.0833333333333333,2.9,-0.819322418,3.333333333,2016-12-31,1.4238333333333333,1.7203333333333333,0.004796261018864101,0.007826102978433225,0.04240903331899126,0.08333333333333326,0.0,-0.6153987229313134,-5.16666666625,0.0511097987105662,0.018812799810490333
70,70,70,3106.173333,2335.076667,3207.803333,1.3333333333333333,2.9,-0.085216244,7.433333333,2017-03-31,1.4031,1.7472,0.0835740364892208,0.06725382759046217,0.017902171952039803,0.23076923076923084,0.0,-0.8959918072203903,1.2300000001229998,-0.01456162940419048,0.015617128463476071
71,71,71,3204.246667,2406.47,3154.756667,1.5833333333333333,2.9,1.697286625,5.8,2017-06-30,1.3852,1.7553999999999998,0.03157368359262769,0.030574299340553557,-0.016536757554394543,0.1875,0.0,-20.917407120173007,-0.21973094166904628,-0.01275746561185942,0.0046932234432233155
72,72,72,3275.563333,2487.103333,3327.593333,1.75,2.9,1.105948095,6.233333333,2017-09-30,1.3557666666666666,1.7454999999999998,0.022256921333328794,0.03350689308406096,0.05478605301256345,0.10526315789473695,0.0,-0.348402280021502,0.07471264362068974,-0.021248435845605984,-0.005639740230147017
73,73,73,3403.513333,2632.15,3339.233333,1.8333333333333333,2.9,2.569387906,5.866666667,2017-12-31,1.3494,1.7560333333333336,0.03906198323535803,0.058319517760060835,0.0034980235969839235,0.04761904761904767,0.0,1.3232445696287405,-0.05882352930795853,-0.004695989968775294,0.0060345650720903254
74,74,74,3493.3,2726.17,3303.046667,2.083333333333333,2.9,3.073666474,3.7,2018-03-31,1.3156666666666668,1.763966666666667,0.02638058330180204,0.03571984879281187,-0.010836818632104839,0.13636363636363624,0.0,0.19626408563005038,-0.369318181854016,-0.024998764883157776,0.004517757825401869
75,75,75,3436.936667,2690.563333,3008.373333,2.333333333333333,2.9,2.81925817,4.066666667,2018-06-30,1.3419333333333334,1.7907,-0.016134695846334424,-0.013061058921490565,-0.08921258574515922,0.1200000000000001,0.0,-0.08277030255300244,0.09909909918918913,0.019964530022802185,0.01515523724938106
76,76,76,3263.46,2877.263333,2807.666667,2.583333333333333,2.9,4.008868172,4.1,2018-09-30,1.3663666666666667,1.8378333333333328,-0.0504742111385551,0.06939067284167133,-0.06671601021002671,0.1071428571428572,0.0,0.4219585189674204,0.008196721228836301,0.01820756123006606,0.026321177937863816
77,77,77,3068.39,2659.586667,2561.623333,2.833333333333333,2.9,2.706762081,2.3,2018-12-31,1.3733333333333333,1.8338333333333328,-0.05977398221519492,-0.0756540645770638,-0.08763267267153829,0.09677419354838701,0.0,-0.32480641296577906,-0.4390243902439024,0.00509868019809212,-0.002176475922735066
78,78,78,3205.246667,2774.33,2872.093333,3.0,2.9,1.189570195,0.2,2019-03-31,1.3508666666666669,1.7698666666666665,0.04460210957537991,0.04314329531867811,0.12120048876834599,0.05882352941176472,0.0,-0.5605191149417466,-0.9130434782608695,-0.016359223300970727,-0.03488139598291351
79,79,79,3279.856667,2879.883333,2985.306667,3.0,2.9,-0.57234145,0.5,2019-06-30,1.3618,1.818,0.02327745966267014,0.03804642310035233,0.039418403538350466,0.0,0.0,-1.4811329776129774,1.5,0.008093569560281955,0.027196022299231792
80,80,80,3175.753333,2961.193333,2907.98,2.75,2.9,-1.348505683,-0.766666667,2019-09-30,1.3807666666666665,1.7645666666666668,-0.03174020835953806,0.02823378262177667,-0.02590241996066256,-0.08333333333333337,0.0,1.3561209536719732,-2.533333334,0.013927644783864324,-0.029391272460579376
81,81,81,3215.543333,3136.44,2950.386667,2.25,2.9,-2.019952952,-1.166666667,2019-12-31,1.3572666666666666,1.7469333333333334,0.012529310632073631,0.05918109602876109,0.014582860611145998,-0.18181818181818177,0.0,0.49791949523434087,0.5217391302079397,-0.017019530212683653,-0.009993010559722015
82,82,82,2882.013333,2921.443333,2869.043333,1.5833333333333333,2.9,-2.704591363,-0.666666667,2020-03-31,1.393066666666667,1.7310666666666668,-0.10372430580458925,-0.06854799294741809,-0.027570397775255495,-0.2962962962962963,0.0,0.3389378006661612,-0.42857142844897966,0.026376541087479888,-0.009082582811784423
83,83,83,2574.963333,3019.01,2899.033333,0.25,2.9,-14.66035726,-3.266666667,2020-06-30,1.4051,1.7226,-0.10654010392116386,0.033396734380539916,0.010452961673688144,-0.8421052631578947,0.0,4.420544286490054,3.89999999805,0.008638016845329055,-0.004891011322498806
84,84,84,2509.65,3378.143333,3307.913333,0.25,2.9,-6.697827536,-2.166666667,2020-09-30,1.3665333333333336,1.7124,-0.025364762349413983,0.11895731812746546,0.14104011683676632,0.0,0.0,-0.5431334027394636,-0.3367346938431903,-0.02744763124807237,-0.005921281783350718
85,85,85,2691.2,3549.22,3363.12,0.25,2.9,-4.702691811,-1.333333333,2020-12-31,1.3427666666666669,1.6696666666666669,0.07234076464845685,0.05064221678482572,0.016689272493705998,0.0,0.0,-0.2978780379572914,-0.38461538486390534,-0.017391940677139228,-0.024955228529159657
86,86,86,3005.633333,3832.76,3478.02,0.25,2.9,-2.745648348,2.133333333,2021-03-31,1.3349666666666666,1.6882666666666666,0.11683759401010718,0.07988797538614123,0.034164704203239804,0.0,0.0,-0.41615388412702436,-2.60000000015,-0.0058089020182212625,0.011139948093431551
