,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,STI_Price,SPY_Price,SHG_Price,US Interest Rates,China Interest Rates ,Production Index United States,Production Index China,Date,CNY,USD,STI_Price_returns,SPY_Price_returns,SHG_Price_returns,US Interest Rates_returns,China Interest Rates _returns,Production Index United States_returns,Production Index China_returns,CNY_returns,USD_returns,Crisis_Bool,Crisis
32,32,32,32,3484.953333,1485.336667,5080.716667,5.75,3.33,2.522910872,2.566666667,2007-09-30,1.5091333333333334,1.2383666666666666,0.0246919265324085,-0.0133581616943457,0.2948217834329363,-0.0799999999999999,0.0,-0.1140712338838741,-0.0609756095196312,-0.0116789277216265,-0.0126242491893903,False,0
33,33,33,33,3575.2,1499.626667,5362.703333,4.916666666666666,3.33,2.605125175,4.4,2007-12-31,1.4459,1.2203,0.0258960905287968,0.0096207144935445,0.0555013563010795,-0.1449275362318841,0.0,0.0325870818158651,0.7142857140630801,-0.04190042850201,-0.0145891093106511,False,0
34,34,34,34,3005.186667,1343.96,4068.213333,3.166666666666667,4.14,1.31640855,6.9,2008-03-31,1.3962666666666668,1.2394,-0.1594353694898187,-0.1038036135429698,-0.2413875837647422,-0.3559322033898303,0.2432432432432432,-0.4946851066379181,0.5681818181818181,-0.0343269474606356,0.0156518888797838,True,1
35,35,35,35,3095.983333,1355.323333,3287.52,2.25,4.14,-1.353286942,8.366666667,2008-06-30,1.3595333333333333,1.2634999999999998,0.0302133198569791,0.0084551125033482,-0.191900785208896,-0.2894736842105263,0.0,-2.028014397202145,0.2125603865217391,-0.0263082505729566,0.019444892690011,False,0
36,36,36,36,2676.17,1238.856667,2488.956667,2.25,4.14,-4.680267367,9.733333333,2008-09-30,1.4059333333333337,1.2552333333333332,-0.1355993517552958,-0.0859327535830153,-0.2429075208667932,0.0,0.0,2.458444193722221,0.1633466134596275,0.0341293581130783,-0.0065426724706503,True,1
37,37,37,37,1762.776667,922.7466667,1806.92,1.0,3.33,-9.048093906,2.5,2008-12-31,1.4760333333333333,1.2776666666666667,-0.3413061700116211,-0.2551626905035657,-0.2740251270915356,-0.5555555555555556,-0.1956521739130433,0.9332429531263572,-0.7431506849227106,0.0498601166484895,0.0178718432164008,True,1
38,38,38,38,1680.443333,786.28,2148.906667,0.5,2.79,-13.96638685,-4.6,2009-03-31,1.5265333333333333,1.238,-0.046706616635742,-0.1478918013196871,0.1892649740995728,-0.5,-0.1621621621621621,0.5435722700378436,-2.84,0.0342133194823965,-0.0310461779285156,False,0
39,39,39,39,2194.166667,903.7566667,2689.953333,0.5,2.79,-15.06569409,-7.2,2009-06-30,1.4576,1.2282333333333335,0.305707026182715,0.1494081837258991,0.2517776478190803,0.0,0.0,0.0787109258684182,0.5652173913043479,-0.045156782251725,-0.007889068389876,False,0
40,40,40,40,2641.556667,1021.726667,2953.076667,0.5,2.79,-10.60191335,-7.7,2009-09-30,1.4296,1.2705,0.2038997341125863,0.1305329240123436,0.0978170627616608,0.0,0.0,-0.2962877590195381,0.0694444444444444,-0.0192096597145993,0.0344125709012943,False,0
41,41,41,41,2760.29,1082.306667,3156.096667,0.5,2.79,-5.205814579,-2.066666667,2009-12-31,1.3968,1.2989,0.0449482437697787,0.0592917870861444,0.068748638417927,0.0,0.0,-0.5089740495756834,-0.7316017315584415,-0.0229434806939003,0.022353404171586,False,0
42,42,42,42,2794.556667,1115.93,3050.113333,0.6666666666666666,2.79,2.345606108,5.2,2010-03-31,1.4037,1.3435333333333332,0.0124141546721538,0.0310663641139705,-0.0335805094654282,0.3333333333333332,0.0,-1.4505742708282503,-3.5161290318522376,0.0049398625429553,0.0343624092180563,False,0
43,43,43,43,2854.24,1102.27,2620.376667,0.75,2.79,7.300065686,6.78,2010-06-30,1.3897000000000002,1.3897000000000002,0.0213569950843297,-0.0122409111682633,-0.1408920322240366,0.125,0.0,2.112229995096858,0.3038461538461539,-0.0099736410914011,0.0343621297077361,False,0
44,44,44,44,3011.886667,1097.376667,2643.986667,0.75,2.79,6.906537739,4.466666667,2010-09-30,1.3435333333333332,1.4037,0.0552324496188127,-0.004439323396264,0.0090101550274566,0.0,0.0,-0.0539074528815136,-0.3411996066371682,-0.0332205991700848,0.0100741167158378,False,0
45,45,45,45,3159.12,1207.15,2869.03,0.75,2.943333333,5.708321552,5.666666667,2010-12-31,1.2989,1.3968,0.0488840880412846,0.1000325014200433,0.0851151542512675,0.0,0.0549581838709676,-0.173490138225682,0.2686567163978615,-0.0332208604178038,-0.0049155802521905,False,0
46,46,46,46,3098.693333,1313.056667,2874.616667,0.75,3.25,4.292931671,7.033333333,2011-03-31,1.2705,1.4296,-0.0191276896730734,0.0877328144803877,0.0019472319913,0.0,0.104190260600701,-0.2479520237440191,0.2411764704564012,-0.0218646547078297,0.0234822451317295,False,0
47,47,47,47,3153.41,1343.15,2805.686667,0.75,3.25,2.709922096,6.9,2011-06-30,1.2282333333333335,1.4576,0.0176579806776251,0.022918533340039,-0.0239788493510463,0.0,0.0,-0.368747908496585,-0.018957345925069,-0.0332677423586512,0.0195858981533296,False,0
48,48,48,48,2916.56,1214.196667,2542.763333,0.75,3.25,2.491837752,7.1,2011-09-30,1.238,1.5265333333333333,-0.0751091675360958,-0.0960081398205711,-0.0937108683918481,0.0,0.0,-0.0804762411147925,0.0289855072463767,0.0079518006893368,0.0472923527259421,False,0
49,49,49,49,2734.86,1252.62,2333.693333,0.75,3.25,3.125019028,3.133333333,2011-12-31,1.2776666666666667,1.4760333333333333,-0.0622994212359765,0.0316450654529756,-0.0822215726043741,0.0,0.0,0.2541021282351934,-0.558685446056338,0.0320409262250942,-0.0330814918333478,False,0
50,50,50,50,2970.403333,1362.186667,2327.963333,0.75,3.25,3.604353224,0.133333333,2012-03-31,1.2552333333333332,1.4059333333333337,0.0861262854405711,0.0874699964873626,-0.0024553354628793,0.0,0.0,0.153386008758728,-0.9574468086124944,-0.0175580485259588,-0.0474921523904154,False,0
51,51,51,51,2876.52,1356.8,2331.326667,0.75,3.25,3.836630193,-1.4,2012-06-30,1.2634999999999998,1.3595333333333333,-0.0316062576273712,-0.0039544264604081,0.00144475385515,0.0,0.0,0.064443453392236,-11.50000002625,0.0065857609474997,-0.0330029873393715,False,0
52,52,52,52,3040.733333,1408.856667,2079.106667,0.75,3.25,2.678160226,-3.333333333,2012-09-30,1.2394,1.3962666666666668,0.0570874991308942,0.0383672368808962,-0.1081873267998781,0.0,0.0,-0.3019498645226868,1.380952380714286,-0.0190740007914521,0.0270190751728536,False,0
53,53,53,53,3091.8,1418.176667,2106.043333,0.75,3.25,2.120327569,-2.3,2012-12-31,1.2203,1.4459,0.0167941944943976,0.0066152932504097,0.012955884576556,0.0,0.0,-0.20828950097327,-0.309999999931,-0.0154106825883493,0.0355471734148202,False,0
54,54,54,54,3286.903333,1527.326667,2329.21,0.75,3.25,1.890172066,-1.7,2013-03-31,1.2383666666666666,1.5091333333333334,0.0631034779093084,0.0769650231454555,0.1059648980166543,0.0,0.0,-0.108547144490767,-0.2608695652173912,0.0148051025704061,0.0437328538165389,False,0
55,55,55,55,3276.663333,1611.53,2152.57,0.75,3.25,1.707126915,-2.733333333,2013-06-30,1.2542,1.5269666666666666,-0.0031153943279049,0.0551311875968181,-0.075836871729041,0.0,0.0,-0.0968404698665144,0.6078431370588235,0.0127856585287071,0.0118169368732605,False,0
56,56,56,56,3139.58,1666.75,2088.946667,0.75,3.25,2.134596368,-1.733333333,2013-09-30,1.2666000000000002,1.5275999999999998,-0.0418362581286284,0.0342655737094561,-0.0295569170805131,0.0,0.0,0.2504028547871615,-0.3658536585812016,0.0098867804177964,0.0004147656574036,False,0
57,57,57,57,3184.816667,1803.57,2159.363333,0.75,3.25,2.312059087,-1.433333333,2013-12-31,1.2529666666666666,1.5438,0.0144085090999432,0.0820878956052197,0.0337091736770509,0.0,0.0,0.0831364288164104,-0.1730769231102071,-0.0107637244065479,0.0106048703849177,False,0
58,58,58,58,3108.873333,1838.126667,2040.896667,0.75,3.25,2.221662046,-1.966666667,2014-03-31,1.2669333333333337,1.5801666666666667,-0.0238454334866113,0.0191601473743741,-0.0548618494116107,0.0,0.0,-0.0390980669604315,0.3720930238074635,0.0111468780760333,0.0235565919592348,False,0
59,59,59,59,3272.076667,1922.583333,2037.966667,0.75,3.25,3.173927056,-1.766666667,2014-06-30,1.2510333333333332,1.5812333333333333,0.0524959741098591,0.0459471414654146,-0.001435643483267,0.0,0.0,0.4286273025703928,-0.1016949152370008,-0.0125499894759001,0.0006750342790844,False,0
60,60,60,60,3325.963333,1968.776667,2260.876667,0.75,3.25,3.345346657,-0.966666667,2014-09-30,1.2572,1.6199666666666666,0.0164686440704355,0.0240267005373024,0.1093786290077727,0.0,0.0,0.0540086769404317,-0.4528301885938056,0.0049292584796569,0.0244956468579378,False,0
61,61,61,61,3329.966667,2048.17,2779.23,0.75,3.25,3.261410768,-2.733333333,2014-12-31,1.3052666666666666,1.6827,0.0012036614956874,0.0403262260929671,0.2292709463395068,0.0,0.0,-0.0250903411831379,1.8275862055766945,0.0382331106161839,0.0387250766476676,False,0
62,62,62,62,3413.69,2055.793333,3422.853333,0.75,3.25,1.417972973,-4.766666667,2015-03-31,1.3624333333333334,1.6788,0.025142393715138,0.0037220216095343,0.2315833281160608,0.0,0.0,-0.5652271137040656,0.7439024393590126,0.0437969252770826,-0.0023177036904974,False,0
63,63,63,63,3398.943333,2085.336667,4443.54,0.75,3.25,-1.366081242,-4.666666667,2015-06-30,1.3392,1.6630666666666667,-0.0043198612059091,0.0143707704105098,0.298197605243403,0.0,0.0,-1.963404287678197,-0.0209790209775538,-0.0170528221564358,-0.009371773489,False,0
64,64,64,64,2971.61,1998.683333,3307.5,0.75,3.25,-1.863850132,-5.733333333,2015-09-30,1.4015333333333333,1.6371666666666669,-0.1257253478900526,-0.0415536423308861,-0.2556610270189984,0.0,0.0,0.3643772234740927,0.2285714284122448,0.0465452011150935,-0.0155736390603702,True,1
65,65,65,65,2912.34,2067.903333,3455.713333,0.8333333333333333,3.016666667,-3.76866971,-5.9,2015-12-31,1.4094,1.6444666666666663,-0.0199454167942629,0.0346327999323943,0.0448112873771731,0.1111111111111109,-0.0717948716923077,1.0219810838310472,0.0290697675016902,0.0056129001569709,0.0044589229359661,False,0
66,66,66,66,2712.173333,1977.403333,2809.833333,1.0,2.9,-3.337776769,-4.833333333,2016-03-31,1.3927666666666667,1.7043666666666668,-0.068730528372374,-0.0437641346942014,-0.1869020771579145,0.2000000000000001,-0.0386740332553952,-0.1143355544946389,-0.1807909605084746,-0.0118017123125679,0.0364251834434672,False,0
67,67,67,67,2823.503333,2087.04,2928.183333,1.0,2.9,-2.33226075,-2.933333333,2016-06-30,1.3558666666666666,1.7061,0.0410482614239315,0.0554447669680346,0.0421199359442576,0.0,0.0,-0.3012532259013993,-0.3931034483029726,-0.026494028671948,0.0010169955604231,False,0
68,68,68,68,2852.916667,2170.94,3023.176667,1.0,2.9,-2.130316426,-0.8,2016-09-30,1.3546000000000002,1.6885666666666663,0.0104173186750757,0.0402004753143208,0.0324410472969523,0.0,0.0,-0.0865873697870189,-0.7272727272417355,-0.0009342118202376,-0.0102768497352638,False,0
69,69,69,69,2866.6,2187.93,3151.386667,1.0833333333333333,2.9,-0.819322418,3.333333333,2016-12-31,1.4238333333333333,1.7203333333333333,0.0047962610188641,0.0078261029784332,0.0424090333189912,0.0833333333333332,0.0,-0.6153987229313134,-5.16666666625,0.0511097987105662,0.0188127998104903,False,0
70,70,70,70,3106.173333,2335.076667,3207.803333,1.3333333333333333,2.9,-0.085216244,7.433333333,2017-03-31,1.4031,1.7472,0.0835740364892208,0.0672538275904621,0.0179021719520398,0.2307692307692308,0.0,-0.8959918072203903,1.2300000001229998,-0.0145616294041904,0.015617128463476,False,0
71,71,71,71,3204.246667,2406.47,3154.756667,1.5833333333333333,2.9,1.697286625,5.8,2017-06-30,1.3852,1.7553999999999998,0.0315736835926276,0.0305742993405535,-0.0165367575543945,0.1875,0.0,-20.917407120173007,-0.2197309416690462,-0.0127574656118594,0.0046932234432233,False,0
72,72,72,72,3275.563333,2487.103333,3327.593333,1.75,2.9,1.105948095,6.233333333,2017-09-30,1.3557666666666666,1.7454999999999998,0.0222569213333287,0.0335068930840609,0.0547860530125634,0.1052631578947369,0.0,-0.348402280021502,0.0747126436206897,-0.0212484358456059,-0.005639740230147,False,0
73,73,73,73,3403.513333,2632.15,3339.233333,1.8333333333333333,2.9,2.569387906,5.866666667,2017-12-31,1.3494,1.7560333333333336,0.039061983235358,0.0583195177600608,0.0034980235969839,0.0476190476190476,0.0,1.3232445696287405,-0.0588235293079585,-0.0046959899687752,0.0060345650720903,False,0
74,74,74,74,3493.3,2726.17,3303.046667,2.083333333333333,2.9,3.073666474,3.7,2018-03-31,1.3156666666666668,1.763966666666667,0.026380583301802,0.0357198487928118,-0.0108368186321048,0.1363636363636362,0.0,0.1962640856300503,-0.369318181854016,-0.0249987648831577,0.0045177578254018,False,0
